model,seed,bucket,recall_at_5,users
lightgcn_k3,18,head,0.6031339977851605,215
lightgcn_k3,19,tail,0.31215986394557826,196
lightgcn_k3,19,lower-mid,0.4368020304568528,197
lightgcn_k3,19,upper-mid,0.5161796536796537,220
lightgcn_k3,19,head,0.5949612403100776,215
zero_hop,0,tail,0.3454931972789116,196
zero_hop,0,lower-mid,0.3871404399323181,197
zero_hop,0,upper-mid,0.4425811688311688,220
zero_hop,0,head,0.530952380952381,215
zero_hop,1,tail,0.32576530612244897,196
zero_hop,1,lower-mid,0.4165820642978003,197
zero_hop,1,upper-mid,0.47547077922077924,220
zero_hop,1,head,0.56015503875969,215
zero_hop,2,tail,0.3314625850340136,196
zero_hop,2,lower-mid,0.41548223350253805,197
zero_hop,2,upper-mid,0.4605032467532467,220
zero_hop,2,head,0.562469545957918,215
zero_hop,3,tail,0.31062925170068023,196
zero_hop,3,lower-mid,0.44128595600676823,197
zero_hop,3,upper-mid,0.477732683982684,220
zero_hop,3,head,0.5411627906976745,215
zero_hop,4,tail,0.33290816326530615,196
zero_hop,4,lower-mid,0.40423011844331636,197
zero_hop,4,upper-mid,0.4268614718614719,220
zero_hop,4,head,0.5632558139534884,215
zero_hop,5,tail,0.30714285714285716,196
zero_hop,5,lower-mid,0.45896785109983074,197
zero_hop,5,upper-mid,0.4700378787878788,220
zero_hop,5,head,0.5594130675526024,215
zero_hop,6,tail,0.3335034013605442,196
zero_hop,6,lower-mid,0.37834179357021996,197
zero_hop,6,upper-mid,0.4808712121212121,220
zero_hop,6,head,0.5426356589147286,215
zero_hop,7,tail,0.28903061224489796,196
zero_hop,7,lower-mid,0.4133671742808798,197
zero_hop,7,upper-mid,0.4804491341991342,220
zero_hop,7,head,0.5350276854928018,215
zero_hop,8,tail,0.3122448979591837,196
zero_hop,8,lower-mid,0.39433164128595605,197
zero_hop,8,upper-mid,0.4371266233766234,220
zero_hop,8,head,0.5433333333333333,215
zero_hop,9,tail,0.32823129251700683,196
zero_hop,9,lower-mid,0.4177664974619289,197
zero_hop,9,upper-mid,0.42428030303030306,220
zero_hop,9,head,0.5473200442967886,215
zero_hop,10,tail,0.32534013605442175,196
zero_hop,10,lower-mid,0.38730964467005075,197
zero_hop,10,upper-mid,0.45481601731601723,220
zero_hop,10,head,0.5394905869324474,215
zero_hop,11,tail,0.33588435374149656,196
zero_hop,11,lower-mid,0.3906937394247039,197
zero_hop,11,upper-mid,0.4805681818181818,220
zero_hop,11,head,0.5195570321151717,215
zero_hop,12,tail,0.29651360544217686,196
zero_hop,12,lower-mid,0.3824027072758037,197
zero_hop,12,upper-mid,0.46451298701298704,220
zero_hop,12,head,0.5266334440753047,215
zero_hop,13,tail,0.33120748299319724,196
zero_hop,13,lower-mid,0.3890016920473773,197
zero_hop,13,upper-mid,0.4753896103896104,220
zero_hop,13,head,0.5071207087486157,215
zero_hop,14,tail,0.34404761904761905,196
zero_hop,14,lower-mid,0.4159052453468697,197
zero_hop,14,upper-mid,0.45629329004329006,220
zero_hop,14,head,0.5278516057585825,215
zero_hop,15,tail,0.3357142857142857,196
zero_hop,15,lower-mid,0.434010152284264,197
zero_hop,15,upper-mid,0.4387175324675324,220
zero_hop,15,head,0.5412735326688816,215
zero_hop,16,tail,0.35935374149659866,196
zero_hop,16,lower-mid,0.39712351945854485,197
zero_hop,16,upper-mid,0.4476136363636363,220
zero_hop,16,head,0.5577076411960132,215
zero_hop,17,tail,0.3471938775510204,196
zero_hop,17,lower-mid,0.4233502538071066,197
zero_hop,17,upper-mid,0.47155303030303036,220
zero_hop,17,head,0.5411627906976744,215
zero_hop,18,tail,0.3575680272108843,196
zero_hop,18,lower-mid,0.39027072758037223,197
zero_hop,18,upper-mid,0.4305248917748918,220
zero_hop,18,head,0.531705426356589,215
zero_hop,19,tail,0.3111394557823129,196
zero_hop,19,lower-mid,0.4210659898477157,197
zero_hop,19,upper-mid,0.4509902597402598,220
zero_hop,19,head,0.5285603543743079,215
